id 	 name
NCBIGene:215 	 ABCD1
NCBIGene:5832 	 ALDH18A1
NCBIGene:283 	 ANG
NCBIGene:311 	 ANXA11
NCBIGene:6311 	 ATXN2
NCBIGene:587 	 BCAT2
NCBIGene:899 	 CCNF
NCBIGene:755 	 CFAP410
NCBIGene:400916 	 CHCHD10
NCBIGene:25978 	 CHMP2B
NCBIGene:11261 	 CHP1
NCBIGene:51117 	 COQ4
NCBIGene:10229 	 COQ7
NCBIGene:1610 	 DAO
NCBIGene:1639 	 DCTN1
NCBIGene:2066 	 ERBB4
NCBIGene:10613 	 ERLIN1
NCBIGene:9896 	 FIG4
NCBIGene:2521 	 FUS
NCBIGene:2581 	 GALC
NCBIGene:2733 	 GLE1
NCBIGene:55830 	 GLT8D1
NCBIGene:3178 	 HNRNPA1
NCBIGene:9782 	 MATR3
NCBIGene:4744 	 NEFH
NCBIGene:4750 	 NEK1
NCBIGene:10133 	 OPTN
NCBIGene:5216 	 PFN1
NCBIGene:5297 	 PI4KA
NCBIGene:5444 	 PON1
NCBIGene:5445 	 PON2
NCBIGene:5446 	 PON3
NCBIGene:10891 	 PPARGC1A
NCBIGene:5630 	 PRPH
NCBIGene:51308 	 REEP2
NCBIGene:6647 	 SOD1
NCBIGene:8878 	 SQSTM1
NCBIGene:8148 	 TAF15
NCBIGene:23435 	 TARDBP
NCBIGene:29110 	 TBK1
NCBIGene:54209 	 TREM2
NCBIGene:29978 	 UBQLN2
NCBIGene:7345 	 UCHL1
NCBIGene:23025 	 UNC13A
NCBIGene:9217 	 VAPB
NCBIGene:7415 	 VCP
